,START,END,DURATION
0,2019-01-24 01:08:29.001125,2019-01-24 01:08:29.012116,0 days 00:00:00.010991000
1,2019-01-24 01:08:29.080303,2019-01-24 01:08:29.093295,0 days 00:00:00.012992000
2,2019-01-24 01:08:29.144164,2019-01-24 01:08:29.157159,0 days 00:00:00.012995000
3,2019-01-24 01:08:29.209162,2019-01-24 01:08:29.220156,0 days 00:00:00.010994000
4,2019-01-24 01:08:29.272164,2019-01-24 01:08:29.284156,0 days 00:00:00.011992000
5,2019-01-24 01:08:29.337302,2019-01-24 01:08:29.348296,0 days 00:00:00.010994000
6,2019-01-24 01:08:29.399979,2019-01-24 01:08:29.413971,0 days 00:00:00.013992000
7,2019-01-24 01:08:29.479164,2019-01-24 01:08:29.493155,0 days 00:00:00.013991000
8,2019-01-24 01:08:29.543813,2019-01-24 01:08:29.555820,0 days 00:00:00.012007000
9,2019-01-24 01:08:29.607721,2019-01-24 01:08:29.619714,0 days 00:00:00.011993000
10,2019-01-24 01:08:29.672162,2019-01-24 01:08:29.684155,0 days 00:00:00.011993000
11,2019-01-24 01:08:29.736745,2019-01-24 01:08:29.747738,0 days 00:00:00.010993000
12,2019-01-24 01:08:29.800358,2019-01-24 01:08:29.812350,0 days 00:00:00.011992000
13,2019-01-24 01:08:29.880163,2019-01-24 01:08:29.893156,0 days 00:00:00.012993000
14,2019-01-24 01:08:29.944162,2019-01-24 01:08:29.956159,0 days 00:00:00.011997000
15,2019-01-24 01:08:30.008104,2019-01-24 01:08:30.021096,0 days 00:00:00.012992000
16,2019-01-24 01:08:30.936166,2019-01-24 01:08:30.948160,0 days 00:00:00.011994000
17,2019-01-24 01:08:31.016087,2019-01-24 01:08:31.028079,0 days 00:00:00.011992000
18,2019-01-24 01:08:31.080124,2019-01-24 01:08:31.092118,0 days 00:00:00.011994000
19,2019-01-24 01:08:31.144125,2019-01-24 01:08:31.156119,0 days 00:00:00.011994000
20,2019-01-24 01:08:31.208720,2019-01-24 01:08:31.219713,0 days 00:00:00.010993000
21,2019-01-24 01:08:31.272125,2019-01-24 01:08:31.284121,0 days 00:00:00.011996000
22,2019-01-24 01:08:31.336448,2019-01-24 01:08:31.348423,0 days 00:00:00.011975000
23,2019-01-24 01:08:31.415614,2019-01-24 01:08:31.428606,0 days 00:00:00.012992000
24,2019-01-24 01:08:31.479780,2019-01-24 01:08:31.492773,0 days 00:00:00.012993000
25,2019-01-24 01:08:31.543161,2019-01-24 01:08:31.555157,0 days 00:00:00.011996000
26,2019-01-24 01:08:31.608195,2019-01-24 01:08:31.620188,0 days 00:00:00.011993000
27,2019-01-24 01:08:31.671162,2019-01-24 01:08:31.683155,0 days 00:00:00.011993000
28,2019-01-24 01:08:31.736291,2019-01-24 01:08:31.748284,0 days 00:00:00.011993000
29,2019-01-24 01:08:31.815895,2019-01-24 01:08:31.827889,0 days 00:00:00.011994000
30,2019-01-24 01:08:31.880117,2019-01-24 01:08:31.892111,0 days 00:00:00.011994000
31,2019-01-24 01:08:32.744160,2019-01-24 01:08:32.759151,0 days 00:00:00.014991000
32,2019-01-24 01:08:32.808159,2019-01-24 01:08:32.819154,0 days 00:00:00.010995000
33,2019-01-24 01:08:32.871758,2019-01-24 01:08:32.883752,0 days 00:00:00.011994000
34,2019-01-24 01:08:32.951713,2019-01-24 01:08:32.963706,0 days 00:00:00.011993000
35,2019-01-24 01:08:33.016159,2019-01-24 01:08:33.028152,0 days 00:00:00.011993000
36,2019-01-24 01:08:33.079776,2019-01-24 01:08:33.092769,0 days 00:00:00.012993000
37,2019-01-24 01:08:33.144159,2019-01-24 01:08:33.155154,0 days 00:00:00.010995000
38,2019-01-24 01:08:33.207685,2019-01-24 01:08:33.219678,0 days 00:00:00.011993000
39,2019-01-24 01:08:33.271780,2019-01-24 01:08:33.282774,0 days 00:00:00.010994000
40,2019-01-24 01:08:33.351304,2019-01-24 01:08:33.363296,0 days 00:00:00.011992000
41,2019-01-24 01:08:33.416080,2019-01-24 01:08:33.428073,0 days 00:00:00.011993000
42,2019-01-24 01:08:33.479260,2019-01-24 01:08:33.492253,0 days 00:00:00.012993000
43,2019-01-24 01:08:33.544159,2019-01-24 01:08:33.556159,0 days 00:00:00.012000000
44,2019-01-24 01:08:33.607818,2019-01-24 01:08:33.619811,0 days 00:00:00.011993000
45,2019-01-24 01:08:33.672158,2019-01-24 01:08:33.684152,0 days 00:00:00.011994000
46,2019-01-24 01:08:33.752088,2019-01-24 01:08:33.764082,0 days 00:00:00.011994000
47,2019-01-24 01:08:33.815777,2019-01-24 01:08:33.828771,0 days 00:00:00.012994000
48,2019-01-24 01:08:34.552169,2019-01-24 01:08:34.564163,0 days 00:00:00.011994000
49,2019-01-24 01:08:34.616192,2019-01-24 01:08:34.628185,0 days 00:00:00.011993000
50,2019-01-24 01:08:34.680115,2019-01-24 01:08:34.693107,0 days 00:00:00.012992000
51,2019-01-24 01:08:34.744158,2019-01-24 01:08:34.757154,0 days 00:00:00.012996000
52,2019-01-24 01:08:34.808157,2019-01-24 01:08:34.819151,0 days 00:00:00.010994000
